Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Chen, X., Zhang, Y., Zhang, H., Zhang, L., Liu, L., Cao, Y., Ran, H., Tian, J.","57220785988; 57222267846; 57222483635; 57200690109; 57222267784; 57188868069; 23499506900; 57205788564","A non-invasive nanoparticles for multimodal imaging of ischemic myocardium in rats",2021,"Journal of Nanobiotechnology",19,"1", 82,,,,,10.1186/s12951-021-00822-7,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85102814173&partnerID=40&md5=a0dc92c02fee0f460247c113db9e4f21",Article,Final,Open Access,Scopus,2-s2.0-85102814173
"Jing, B., Gai, Y., Qian, R., Liu, Z., Zhu, Z., Gao, Y., Lan, X., An, R.","57215488805; 56157367200; 57221312229; 57200320494; 57221308127; 57221306507; 9247201100; 7007046187","Hydrophobic insertion-based engineering of tumor cell-derived exosomes for SPECT/NIRF imaging of colon cancer",2021,"Journal of Nanobiotechnology",19,"1", 7,,,,,10.1186/s12951-020-00746-8,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85098787167&partnerID=40&md5=e62478aff8f10cc5749d02b365507029",Article,Final,Open Access,Scopus,2-s2.0-85098787167
"Penedo, M., Shirokawa, T., Alam, M.S., Miyazawa, K., Ichikawa, T., Okano, N., Furusho, H., Nakamura, C., Fukuma, T.","35109573700; 57222812547; 57222816205; 57221306648; 57222812863; 57222808981; 57219408049; 57221912509; 7006634114","Cell penetration efficiency analysis of different atomic force microscopy nanoneedles into living cells",2021,"Scientific Reports",11,"1", 7756,,,,,10.1038/s41598-021-87319-3,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85104060618&partnerID=40&md5=78972d5c4e4b2d1d54b9b64974457464",Article,Final,Open Access,Scopus,2-s2.0-85104060618
"Liu, M., Du, X., Xu, K., Yan, B., Fan, Z., Gao, Z., Ren, X.","57215013969; 57222155425; 57214992502; 57215008079; 57215004871; 55779885300; 7401875709","A cationic quantum dot-based ratiometric fluorescent probe to visually detect berberine hydrochloride in human blood serums",2021,"Journal of Analytical Science and Technology",12,"1", 11,,,,,10.1186/s40543-021-00261-x,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85101724353&partnerID=40&md5=59b8c8f1360c44e2b01253446a704b21",Article,Final,Open Access,Scopus,2-s2.0-85101724353
"Kim, H.-M., Kim, J., An, J., Bock, S., Pham, X.-H., Huynh, K.-H., Choi, Y., Hahm, E., Song, H., Kim, J.-W., Rho, W.-Y., Jeong, D.H., Lee, H.-Y., Lee, S., Jun, B.-H.","55974783500; 37028419500; 57214120946; 57219056575; 35119499400; 26648389800; 57222369696; 57004611300; 57222373837; 57222376326; 55974773600; 57221912238; 56237826800; 57202327303; 35229652600","Au–Ag assembled on silica nanoprobes for visual semiquantitative detection of prostate-specific antigen",2021,"Journal of Nanobiotechnology",19,"1", 73,,,,1,10.1186/s12951-021-00817-4,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85102498334&partnerID=40&md5=1ede1cb906fccdb5d4a4ed041f640451",Article,Final,Open Access,Scopus,2-s2.0-85102498334
"Fang, H., Gai, Y., Wang, S., Liu, Q., Zhang, X., Ye, M., Tan, J., Long, Y., Wang, K., Zhang, Y., Lan, X.","57211255247; 56157367200; 57207088508; 56768321600; 57005818800; 57215524799; 57222466234; 57212929011; 57222471441; 55888809400; 9247201100","Biomimetic oxygen delivery nanoparticles for enhancing photodynamic therapy in triple-negative breast cancer",2021,"Journal of Nanobiotechnology",19,"1", 81,,,,,10.1186/s12951-021-00827-2,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85102766746&partnerID=40&md5=56dbe8d15558ff84340cc7857ad32ca9",Article,Final,Open Access,Scopus,2-s2.0-85102766746
"Ghosh, S., Gul, A.R., Park, C.Y., Kim, M.W., Xu, P., Baek, S.H., Bhamore, J.R., Kailasa, S.K., Park, T.J.","57220950580; 57204715829; 57193117267; 57203751006; 57219264832; 57191841269; 56537111400; 25930861200; 57218374464","Facile synthesis of carbon dots from Tagetes erecta as a precursor for determination of chlorpyrifos via fluorescence turn-off and quinalphos via fluorescence turn-on mechanisms",2021,"Chemosphere",279,"", 130515,,,,,10.1016/j.chemosphere.2021.130515,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85104070798&partnerID=40&md5=dcb1f60ea115ab238583e9a2d2b56822",Article,Final,,Scopus,2-s2.0-85104070798
"Yang, K., Hou, L., Li, Z., Lin, T., Tian, J., Zhao, S.","57211270168; 57221780666; 57223008362; 55859731000; 57223017569; 7403578635","A mitochondria-targeted ratiometric fluorescent nanoprobe for imaging of peroxynitrite in living cells",2021,"Talanta",231,"", 122421,,,,,10.1016/j.talanta.2021.122421,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85104422294&partnerID=40&md5=1951df3f89ed5f59049632ed53517369",Article,Final,,Scopus,2-s2.0-85104422294
"Yang, G., He, Y., Zhao, J., Chen, S., Yuan, R.","57220162203; 57213414244; 57211949806; 36553976700; 7202708509","Ratiometric electrochemiluminescence biosensor based on Ir nanorods and CdS quantum dots for the detection of organophosphorus pesticides",2021,"Sensors and Actuators, B: Chemical",341,"", 130008,,,,,10.1016/j.snb.2021.130008,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85104612669&partnerID=40&md5=98851bdc24cae2a666e5aa7edff7c553",Article,Final,,Scopus,2-s2.0-85104612669
"Sun, J., Feng, A., Wu, X., Che, X., Zhou, W.","57216948943; 57215576964; 8400106200; 57222665621; 57222666367","Enhanced Tb(III) fluorescence on gelatin-coated silver nanoparticles in dopamine detection",2021,"Talanta",231,"", 122334,,,,,10.1016/j.talanta.2021.122334,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85103694042&partnerID=40&md5=1d41e9b4cc12cd8701c51cce472a7753",Article,Final,,Scopus,2-s2.0-85103694042
